"#ID","domain","phylum","class","order","family","genus","species"
"NBDL-HK3QFJ1QN4NBKS","Eukaryota","Chordata","Actinopteri","Carangiformes","Carangidae","Megalaspis","Megalaspis cordyla"
"NBDL-HHG28F4YKB9A16","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Lutjanidae","Pristipomoides","Pristipomoides typus"
"NBDL-HK3QQM1CN1NPSX","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Lethrinidae","Lethrinus","Lethrinus ornatus"
"NBDL-HXDQPBCJGMQE9W","Eukaryota","Chordata","Actinopteri","Gadiformes","Macrouridae","Macrourus","Macrourus caml"
"NBDL-HK3S2V7JN9V0X3","Eukaryota","Chordata","Actinopteri","Perciformes","Synanceiidae","Minous","Minous versicolor"
"NBDL-HK3QHXTHPPTGG4","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Nemipteridae","Nemipterus","Nemipterus hexodon"
"NBDL-J1XVBWQ2HT8ZVZ","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Scarus","Scarus flavipectoralis"
"NBDL-J1XVBWEJNRCM6B","Eukaryota","Chordata","Actinopteri","Gadiformes","Macrouridae","Ventrifossa","Ventrifossa nigrodorsalis"
"NBDL-HHG28F0VNBGE1R","Eukaryota","Chordata","Actinopteri","Aulopiformes","Paraulopidae","Paraulopus","Paraulopus longianalis"
"NBDL-HK3QATBGMPFQYJ","Eukaryota","Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae","Myliobatis","Myliobatis tenuicaudatus"
"NBDL-HXDQPBEMKMTDA1","Eukaryota","Chordata","Actinopteri","Gadiformes","Macrouridae","Coryphaenoides","Coryphaenoides leptolepis"
"NBDL-HK3QFJ46Q4RVCZ","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Lutjanidae","Lutjanus","Lutjanus johnii"
"NBDL-HK3PGJCDKR1WVX","Eukaryota","Chordata","Elasmobranchii","Carcharhiniformes","Triakidae","Hemitriakis","Hemitriakis falcata"
